source,target,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
clinical_research,data_integrity,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_research,oversight,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_research,quality_assurance,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_research,quality_assurance,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_research,regulatory_guideline,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_research,regulatory_guideline,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_study,machine_learning,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_study,machine_learning,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_study,predictive_modeling,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_study,predictive_modeling,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_study,quality_assurance,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_study,quality_assurance,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_trial,data_integrity,Before 2015,2015-2019,1,3,1,4,1.0,0.75,-0.25,0.25,False,False,1.0,1.0,True
